luminosity_distance timeshift x0 x1 c Ebv log_likelihood log_prior
1882.0342896491793 6.58155325274668 0.0004885483002496623 4.454458148556656 0.5733246065811122 0.04948648306625973 -23.399956162630744 -16.560287497271222
980.8167739209198 11.181777333684948 0.00030484462266427157 3.060417414595925 0.6566622751577889 0.0345024513353967 -22.425519960999804 -15.438441929508866
2230.1800244503506 18.159598091951608 0.00036720963595939605 4.599748365652147 -0.004398840557238937 0.024445686763920733 -22.36064645649813 -15.06509959980912
1075.1127428067393 7.802779032025434 0.00039356054200563985 1.2913700378461712 0.5091853298503419 0.0032692717115700687 -21.842861222779256 -14.56065202115914
1277.524575885482 13.724696151827906 0.00035301159008502747 1.6395275522952977 0.5563378954156719 0.018201504473300486 -21.4142754323764 -14.888249515260416
2556.252297430196 14.397728689214034 0.0004746726630802878 2.5988736673689807 -0.05830088380371745 0.04520823808809444 -21.171048792114526 -16.095815223283083
1912.217262581737 6.625211798546452 0.00046665869369422874 4.541208143000265 0.3083721122420927 0.04324690341261485 -21.121679884899816 -15.93853191464887
1802.0130722723252 15.48985090482163 0.0003665564615992024 4.645649567481451 0.4554027798231357 0.031765155509086374 -21.115123251411667 -15.322272914504312
2172.9192485594226 18.043030408149107 0.0004170017071424413 3.624116776233393 0.06028775963664934 0.00201497254851217 -20.98241095337228 -14.537458103075268
1458.835727883031 6.316402979450789 0.0004695367607133577 2.830701148557714 0.3001531392949196 0.018710386616271044 -20.896508526515312 -14.901547771329456
974.0104356152609 14.194367614224944 0.00045874277571918576 0.9539237503979461 0.42378836723804936 0.040385245451513965 -20.675695041230835 -15.745975198185748
1120.6160991728443 15.836063696102165 0.00041429901331821255 2.9748069076473076 0.4488885399795093 0.018867047839176726 -20.623114766343765 -14.905677545774186
1958.9729686037317 9.333050816452705 0.00042573577511883755 3.9301547660980756 0.38705720857676496 0.0057996259635194666 -20.51783102751726 -14.609146057734343
1102.3814328331594 10.415461071177361 0.0003066264903904258 3.6262086472497046 0.7526690156941878 0.0199620664986646 -20.461361334628634 -14.93502980879127
1674.946137889952 13.640069968906182 0.000493647824884774 3.6293088261738085 0.38364386316656107 0.03275589652459639 -20.392425835982724 -15.362778327080221
2016.044147749207 8.828170541780157 0.0005087131836296694 3.991032220660836 0.2033230765842171 0.04952870642807658 -20.288678030160742 -16.566139071410724
1119.3706322492071 5.434294574401687 0.00040956900061021244 4.471564795673986 0.46473455745818915 0.01147069039623642 -20.266469741007196 -14.727213538332121
1816.071944790042 9.89954449578308 0.0004865489040185809 4.3836909343075305 0.2956613194115293 0.01635230043833739 -20.1682075295555 -14.841362069780315
947.180863630615 15.296611408336148 0.0004854019726289348 2.6772499508188483 0.13895581708527405 0.01585447413289118 -19.784997060619215 -14.829106208454382
