luminosity_distance timeshift supernova_mag_boost Ebv log_likelihood log_prior
2148.190820478257 -15.055725988031334 -3.5552471033986137 0.009576224727051181 -29.187107493616985 -11.87279122160636
2255.303889370988 -13.160339363061322 -3.2456620919440726 0.006825752274161052 -29.172385720355322 -11.816091390275814
2269.5074024554815 -10.861731218269803 -3.764818963970594 0.05560587422490769 -28.829313632751266 -15.614998539098682
2443.220978750804 -16.407873098166917 -3.7571300276121793 0.02967020990958011 -28.557856046452155 -12.42826129568397
2854.8538067420445 -14.612587434643036 -4.096330084509762 0.01063251295108607 -28.387025140867845 -11.895450094955667
1507.0889246360873 -13.077489867898159 -2.624793938207427 0.019327941933796028 -28.156178938143846 -12.104516383199813
2685.4278731467393 -12.619825569081755 -3.736757263467005 0.019615230238310744 -27.979212025151917 -12.1122284955118
2726.039273796114 -15.998798631064467 -4.076738544397997 0.036134924929130854 -27.791538939235263 -12.701335439140145
1765.0254184821392 -10.585134004329124 -2.8230806246816624 0.00990083176577086 -27.76745799328912 -11.879700014070604
3176.1982012266344 -13.613612825899544 -4.156496026423005 0.017299833626555884 -27.631842989454608 -12.051701790110751
2189.6785185348026 -13.228566292527074 -3.187195912785837 0.004903721669387797 -27.547392038977602 -11.778295241657265
2101.3741956549766 -10.662122294289627 -3.1780082023273 0.002354084083181991 -27.522262599859868 -11.730265208117448
2171.4045872907573 -10.5101000708157 -3.4273513139394374 0.01812253684796243 -27.479952433836033 -12.072790952384217
1598.1687330187813 -13.068939709744285 -2.645215163021728 0.009747253556782891 -27.322739600433987 -11.876425373572381
3193.612971722549 -16.640196618630128 -4.3173972953016495 0.014290375900175923 -27.262506782232 -11.978138525914462
2786.599639165691 -12.87099714885234 -4.160200040847555 0.04843364676893444 -27.135533582390956 -13.611050845633411
2711.35664864856 -15.790306290786527 -3.967594427780024 0.037746217349414427 -27.118190581927323 -12.782829789022454
2583.1890321083106 -14.970222289630296 -4.052349607204483 0.054954576346247556 -27.003469008436085 -15.15578194517141
2857.4216884602597 -15.840675990143046 -4.095993517782982 0.016387200546584667 -26.98022925988961 -12.028816210614917
2819.5924476989044 -12.611263967793032 -4.074634322492568 0.04384910532276013 -26.89764846387397 -13.170835909779907
2715.7999999626936 -16.476698600032897 -3.9305599477075512 0.01468343011064936 -26.83326872638968 -11.987444638192633
2062.216404713223 -15.421496713201414 -3.379802135650605 0.02081928953302221 -26.667191830898204 -12.145213915529824
1887.498336724881 -10.792005603304556 -2.9316094022751 0.005625269589836055 -26.65674077498042 -11.792317315378831
2989.448892260425 -13.241203535280505 -4.271439109657093 0.043368623426807223 -26.64917284602334 -13.134194294881619
2213.0387241234685 -15.03206747869891 -3.3395806127700944 0.01067294332963408 -26.600747061666418 -11.896327669127452
1846.7035017298242 -11.871413822990935 -3.3370733710620897 0.04528268562506125 -26.516928129498297 -13.288890703845146
2432.6221929408102 -15.227065361864243 -3.5599109112509346 0.01655222058737078 -26.47425760787377 -12.03291572324093
1662.7112162030555 -11.039722933913737 -3.0088887061220517 0.03586288285831911 -26.425523985392623 -12.688208618973752
3224.233278751378 -14.257260917159094 -4.337176397830293 0.04365716082162153 -26.417682614970083 -13.156036765089079
3126.513319626991 -16.57586676706591 -4.247899679938338 0.016651653556973817 -26.38558038431179 -12.035394026772702
2211.4326350307338 -15.140895462000598 -3.615587821628896 0.0221305301861172 -26.29570706729959 -12.182418176894739
2832.050716304896 -13.090379240397816 -4.067013526440192 0.023729353739434376 -26.273803353100398 -12.229738714838058
2918.263261510509 -15.571643158586731 -4.083271664579026 0.007239002726783279 -26.246216552843336 -11.824407848516612
2237.1659901503144 -11.347596132714077 -3.559461111734604 0.04558860622256802 -26.240938088572115 -13.315994491234692
1565.6254170211514 -14.103816181774247 -2.6497012203547023 0.0022807126888141393 -26.22036728341044 -11.728916616399529
2193.97821130815 -12.117317673308342 -3.6764795075735064 0.03220163100595309 -26.164688313246206 -12.52650519355215
2609.638460915055 -12.443813856714684 -3.6604032177323433 0.007252168054753986 -26.157753612508042 -11.824673934306412
1630.817882114456 -13.624960279091741 -2.820779037913372 0.014820901156312974 -26.11226108916581 -11.990720009034973
2403.074168535569 -16.234520626153838 -3.5514012559609442 0.001208991391930138 -26.101818811640893 -11.709422533723984
2286.123966671298 -11.162195508944698 -3.553454553745883 0.013260189732203458 -26.09506233098144 -11.954150583804612
3143.639175846915 -13.973424086243053 -4.372837120486366 0.05450721628250541 -26.093708817425696 -14.93030342310327
2694.1216585068523 -15.399743336696822 -4.0124065936448945 0.02387132411461441 -26.078025493720695 -12.234050915434832
1624.7365757831742 -13.246395399429716 -2.8931683641630763 0.01897927273055095 -26.032257605664103 -12.095235729362248
1394.1299382410264 -13.275230257366143 -2.5374692589090913 0.0005509439423000661 -25.99128010891016 -11.697638592161228
3278.5210646967466 -15.911329147897886 -4.440133801036757 0.03208697425662436 -25.938261457171297 -12.521840367001715
2631.1509515436446 -16.38463027808599 -3.8171743789242676 0.009968333229884588 -25.93207618410172 -11.881142699792106
2884.605301284954 -14.583749815438022 -4.230749247568237 0.04771830341059744 -25.90983468036028 -13.528279790439827
1815.3381591259263 -11.532612211376588 -2.8977358265687685 0.015215805639194235 -25.854969197843094 -12.000189078398915
3305.877469784701 -15.343373066425755 -4.421356684379463 0.028827168492413097 -25.79712087004581 -12.397574554477131
1718.6315610052382 -11.851487176907924 -3.110414006427388 0.03310083646495276 -25.72677635836059 -12.563864199123737
2683.817823320903 -12.533954365663824 -3.8272481007712154 0.024729639033415098 -25.707866946279424 -12.260524984276781
1403.5297346810792 -9.978275336982485 -2.496114212117533 0.013815239595143849 -25.675697867844427 -11.967003413162956
2061.6259431754056 -13.151009096811809 -3.507473888687418 0.054071600917923804 -25.667027803782066 -14.750847514561835
2387.235053825867 -12.344018789888164 -3.8852572167607162 0.04416556924148438 -25.611200292966352 -13.195724249434393
3202.8221468368647 -14.020483654009468 -4.391243670778611 0.04176551054000757 -25.605623208552245 -13.020829065418642
3301.406233914036 -15.423519625162708 -4.4391520824383495 0.037915244662105954 -25.596268262974284 -12.791776590327398
2932.303209897979 -13.99163176292123 -4.24810023435259 0.05292556508894889 -25.589945508157 -14.391648123047196
2005.4289983865594 -14.15193153316711 -3.398354593291254 0.012513544041586973 -25.58825115069007 -11.937117650991633
2198.3166894080814 -11.368183759654187 -3.5741232943821934 0.020641160832199294 -25.587214551440805 -12.140264939775154
2028.155460631153 -13.553291428523778 -3.22817534105246 0.028420050255754947 -25.560272097753835 -12.383085969897238
1537.5961437269743 -10.616914490231459 -2.5182926574242175 0.002882401413707713 -25.557229779644743 -11.740029935138505
2801.2786629841416 -15.043207374857065 -4.1029593138943845 0.029432467155077774 -25.53966618611787 -12.419511691773026
1890.9779474995746 -13.450669933411763 -2.90447604608744 0.0019391574967396884 -25.53636627544476 -11.72266254212972
2337.880722317285 -12.586318017892623 -3.7904308960085222 0.029265438574399307 -25.533234833948903 -12.413410036109076
2075.845927114069 -11.692978379032635 -3.2841040783697633 0.0334003116374403 -25.487660617038834 -12.576622780923046
2358.422253273972 -11.331752034323209 -3.6703960067682573 0.0305192537213848 -25.48242169630254 -12.460148642970235
2788.325436154539 -15.329847027169748 -3.951240510574996 0.002224069409275888 -25.482389098032705 -11.727876735816405
2574.644031392436 -12.417112922061033 -3.6322772360854945 0.0023763700375645028 -25.456996721472255 -11.730675192064831
1278.7256208358503 -10.627000322587037 -2.3908414855762934 0.014874838684791619 -25.44608156067811 -11.992008055061836
2495.249708349987 -12.00998645876021 -3.661870804728894 0.02329567648780908 -25.44006161198587 -12.216680220066998
1487.7547035805762 -11.349871154912876 -2.578629864065437 0.019414409072756666 -25.427877449189758 -12.10683130050673
2582.117271386049 -14.855512996611797 -4.008870271212994 0.047736085319020176 -25.383800699355337 -13.530256404671238
2671.319476468345 -12.622358321030504 -3.7593766008694054 0.012659888601515056 -25.383284016590288 -11.94043337099662
2990.09860911586 -13.62999605782451 -4.0386475693886545 0.00637190991489303 -25.348278397015022 -11.807037028485553
2965.3885908317684 -14.077098642608197 -3.9707552973181253 0.017480808651911442 -25.34393588247022 -12.056302894701203
2353.422247273312 -12.437243716257523 -3.6336698018198303 0.0013609612460045814 -25.337003940323545 -11.712163775214515
2659.050942617943 -12.445600659297476 -3.8665021639813117 0.0317883843612509 -25.321204047714104 -12.509793341847775
3234.5270249644655 -15.436782945275137 -4.241432412350822 0.01727313023206822 -25.310229876397635 -12.051024672429557
2069.9106952533243 -11.79409186925627 -3.275510356885701 0.0330179096755786 -25.296034097613305 -12.560359847291519
2532.9232097177896 -14.34935375124111 -3.789628903729559 0.04294496359735688 -25.290613079407567 -13.102963488290689
2293.715823516715 -13.438776323548293 -3.5406527462236044 0.038346872160026954 -25.26473439502889 -12.814993043220609
2115.5843815624644 -14.329592086618957 -3.5550995489062958 0.03351052185737692 -25.246795276765756 -12.581359362416553
2955.0456863607083 -13.68741084610938 -3.9748831923262355 0.016876169412844692 -25.23417681173747 -12.041012636483412
1941.3281507030088 -11.653724030534665 -3.306521710309206 0.007781217813706557 -25.232318390642778 -11.835425628666258
2395.6016036585006 -11.577455951842655 -3.782995190663893 0.04404516503926382 -25.224408105484454 -13.186181901040204
1388.8596866354374 -13.273288257551869 -2.4902004021755615 0.006459141379898509 -25.22019471344069 -11.808770983415648
3170.1842269549716 -14.012843270899298 -4.34560777636887 0.0421684622678893 -25.216640402182083 -13.048137756686602
2864.2076992694224 -13.211532167572226 -4.072918080281964 0.02585079358543039 -25.19012043666152 -12.296196696757892
2268.568502080298 -14.417789056652385 -3.6189889167974068 0.006715911751882951 -25.17076862028004 -11.813892490446563
2728.013566731218 -14.671323660877075 -4.094326856573859 0.04590818643746262 -25.16256649459933 -13.345115618354269
2369.0615415109583 -15.194568857689985 -3.755746784443293 0.03680475988014354 -25.15923181694928 -12.734411007148683
2261.665872160382 -14.30925544907299 -3.637150190989386 0.04408329724061647 -25.14950735709049 -13.189194137004936
2067.253202898584 -10.855325807697163 -3.326590771957448 0.0039439318468450476 -25.137496960166217 -11.759942934767036
2885.692347836645 -13.832726895444658 -4.1838191482991185 0.05010042370393574 -25.128694754082527 -13.835527935824073
2841.1947498790128 -15.215934128006946 -3.8268039213144736 0.003804855483360094 -25.128498810538467 -11.757311350845221
2173.912674585629 -13.178222440663493 -3.4308285421385336 0.03851626567607478 -25.12429651914537 -12.824253748691554
2012.1265279674906 -12.329471513567697 -3.4419407432136646 0.0547956073924071 -25.12013910830895 -15.069718360799637
1595.7665013541668 -10.419480553581042 -2.7923730898802592 0.019527066871767616 -25.115308427771545 -12.109855461813973
1866.2693712329587 -11.558697117274587 -3.3259371518017042 0.037056017657379176 -25.108696254888926 -12.747105481971653
2944.7721293052787 -15.645387709814605 -4.120684039090744 0.028971040765409743 -25.096952794354078 -12.402745319433745
2275.1302389687003 -12.504118785861706 -3.6003111417393696 0.0493560713026763 -25.09109760787505 -13.729016733183412
2836.5521701229754 -13.78403415082586 -4.133995080841277 0.03419310845124404 -25.08742842853775 -12.611205959799154
2613.818379029866 -15.494608350340663 -3.7780260972204376 0.022327623381101915 -25.073482884293085 -12.18813198838616
2602.309055413479 -13.458585618964971 -3.639863497193659 0.013791346741538832 -25.06998059199728 -11.966446730338589
2844.23917943009 -13.94004001682221 -4.173161694781178 0.04447018671751541 -25.0442020684268 -13.220280587931855
2225.443795703415 -13.8608815236433 -3.7129863234740323 0.048362943676468505 -25.039247982175233 -13.602557978742501
2574.7608608741757 -13.903610375712411 -3.871321503680685 0.05037960134161294 -25.030869850982278 -13.878595432601658
1535.3532548223168 -11.047220480256549 -2.7832895557461885 0.010262598491126762 -25.001329902507077 -11.887456358784267
2559.7734002676298 -15.02191600714777 -3.966623587170771 0.042541379406910725 -24.99223587549221 -13.074093152907352
2499.031331361096 -13.86336774431917 -3.913551328656175 0.028822494733569456 -24.983828086163527 -12.397407027296483
2440.466390425136 -15.507112460129969 -3.734875518453002 0.006417562474884626 -24.980744206896667 -11.807944118241743
2779.6278391720903 -12.8986373255971 -3.938374967799162 0.026910021294870867 -24.94757615534663 -12.331108787366325
2695.19756412619 -14.143430436056702 -4.041075734547116 0.053440025806482494 -24.9465800390299 -14.537210032881182
3181.4974910588835 -15.189833033903986 -4.172826790136076 0.014538213788586517 -24.941785503463375 -11.983996341476065
