luminosity_distance timeshift x0 x1 c Ebv log_likelihood log_prior
1801.7133914619285 15.195396183630606 0.00041085960059103645 2.7009672979358355 0.37589847175257063 0.045835853969778496 -43.2007858375775 -16.15186053584327
884.0393412938344 18.142560703486772 0.00030022899074890743 3.5228190895818337 0.40389876462946983 0.02395642023207246 -40.63862617055425 -15.050055278620814
1732.2279384170906 18.16313225935751 0.00038154989616757907 2.0410765120088836 0.15665678550310247 0.029902363876637583 -40.384160980545296 -15.250290452721464
1707.4308136957052 16.205225892430683 0.0003581103943717094 4.3414681677066 0.45905712725476744 0.025609667007301357 -40.30409555010884 -15.101827368917293
1056.9699742572104 18.092235629938706 0.0004797178305719231 1.6952514531267324 0.010889690055055024 0.007708047467436362 -40.197563938331356 -14.647342423674282
1634.9191945062537 17.60395831634918 0.0004981590245426593 0.4779182313454111 0.2941993828292715 0.048481386118393144 -40.05873032309856 -16.4302370871235
1731.8253420181493 14.025283105908947 0.0003708658847804389 4.971193944362067 0.23610980839578632 0.041545797194660845 -40.04712878322263 -15.819657768603737
807.0829716199785 16.88163019881447 0.00041632456477696384 1.095297875113383 0.2997332110349641 0.024295486905571005 -39.930324655914276 -15.06045702375787
898.1791206589229 18.59751938025419 0.00028284353395707714 3.870501875457629 0.6077757156700834 0.03374999422997882 -39.624720860980105 -15.405140046003648
1480.9580338274206 16.642307881397272 0.00039078301286289084 2.961041772411823 0.5695579580660051 0.050175485020793366 -39.48928787184977 -16.6603369375786
883.2980383199925 17.060238679572464 0.0004314979155987066 1.5235346393982994 0.1261501886544758 0.004143737266044516 -39.48630417814131 -14.577146505085313
1726.6371226818273 17.28149186700894 0.0003803882636876076 4.446025092123131 0.2401232862111079 0.052235609322965317 -39.20652576778222 -17.03812712517546
1163.4920010253943 18.77700865517683 0.00032180542293548827 3.8057501240896876 0.16681078867773091 0.011717397954945936 -39.19154837756347 -14.732680234754989
1082.7960630992732 18.036312159548572 0.0004335228822742003 4.805842202660386 0.24956592724732984 0.05231814494619927 -39.0607074774587 -17.056689733549693
1265.1358872537505 19.011495644879723 0.000514322047396321 1.4815180976950622 0.004015963556119995 0.020889331218541824 -38.96460872496189 -14.960577339230774
504.3084612147796 16.587166599139564 0.00027789700347765917 3.6261532023056624 0.47492887034492903 0.003606722379200574 -38.92512249094383 -14.566984940525003
1229.8826901785285 14.35517892275417 0.0003823923103715237 4.204263762484597 0.49498913735688865 0.03172719160313104 -38.91847287158484 -15.320752969889359
1611.3865076136008 18.67141792725223 0.0005094323631839116 0.8710923980720606 -0.01001036715348802 0.036243644920720616 -38.8280521049716 -15.520040786333576
1399.9938404954637 18.97559299456499 0.0005215298411244409 1.9665590107834054 0.006051538496928521 0.03265440406742303 -38.79506270003226 -15.358552671468713
1784.3372294280803 17.55544149886341 0.0005236991076842588 1.01117069151715 0.034743735719030555 0.04091057878203547 -38.74980605737926 -15.778657377196042
2693.7345649914987 17.33589127848075 0.0003524896287378219 3.6516216145084233 -0.05742475685557863 0.0033654457578880296 -38.73887503866959 -14.562452831962124
1612.704672309745 14.847815515813267 0.0003234229073045249 3.7751760466908166 0.3149858895091693 0.004791135682559042 -38.70966632526681 -14.589535663516214
1895.7747980032605 15.559912781848325 0.00042778764205578343 2.4365026421131732 0.20016471682698922 0.029123416682454273 -38.640953883530514 -15.221661733409785
1486.4901015700561 19.875624436050344 0.00040506682070821427 2.515704514125387 -0.07317438017459188 0.018003654561967588 -38.61097010578312 -14.883126614278577
1427.6046488546372 19.161489052844658 0.0004120104165465048 1.5567365966767124 -0.020171975012685195 0.017849131413289646 -38.60883355199132 -14.87914374048739
2477.743778211033 19.15759803805522 0.0004218420902316641 4.381749468950144 0.04617614931097158 0.02814826111832208 -38.5845627132653 -15.186939760542241
1078.860081680652 16.364453682619406 0.0003284607411683547 3.7060055263462637 0.7041196631644713 0.055105559711440814 -38.56544639108459 -18.058418320275294
1486.2569516489928 19.79449731492366 0.0004221872154201309 1.3087326542625082 -0.11184922815986009 0.005297219067333929 -38.51763634608657 -14.599328535152123
1678.5602368246487 17.266813953543434 0.0004915892265911124 2.300891971939052 0.3962328860161659 0.05090906304743955 -38.488449427665515 -16.7791579670088
