luminosity_distance timeshift supernova_mag_boost Ebv log_likelihood log_prior
447.10477188918276 -25.183436215106703 -2.997015058103723 0.01590428464924574 -73.22183378843587 -12.016915023759111
1034.3701646678483 -28.40702119345981 -4.940728017898069 0.046008476748881824 -73.18548784046234 -13.354432008157678
840.4347284411378 -27.15119236720843 -4.220748958107723 0.022670892004323276 -72.72721951035199 -12.198162103262602
768.3748754416062 -23.490944292462792 -4.159155672902532 0.043557510010004796 -72.1719627159828 -13.148439079971848
896.9766548228362 -26.58094049925154 -4.625981174308058 0.014358889787164396 -72.15600048498587 -11.979754469008778
461.1346145559442 -24.504125678707027 -3.006227790778953 0.0019649247586262554 -72.05954502518516 -11.723132994022745
606.4620226397844 -22.44797464299626 -3.5772623189379633 0.015262280971226746 -72.05194135950057 -12.001309389888323
933.708327922915 -26.764687247914736 -4.908375653009139 0.048522702412287705 -71.84510368384214 -13.621851900423387
816.8323842931387 -21.966311028385814 -4.275184970352157 0.031290600575135996 -71.73344056686565 -12.490026705872213
932.1300276844911 -28.88793457464854 -4.52456217734714 0.02072942352240697 -71.56733517045646 -12.142714093761253
954.4553392973902 -27.13180963430846 -4.543312976519508 0.01779449325489631 -71.56507311686437 -12.064328498833383
797.4464226435314 -29.265855144574925 -4.458790967480233 0.02124057100405536 -71.34519911222944 -12.157016831997646
832.5884808563651 -29.228286864206684 -4.3826152902234705 0.03750575843388927 -71.2556182220164 -12.770238406667733
831.1302620049064 -27.38638336086235 -4.0915511806851725 0.00015263396121657904 -71.250476457102 -11.69057276526873
1026.6006611900818 -27.731140790541886 -4.962841402772906 0.041880493942613735 -70.98926944410893 -13.028545934434565
587.5033668376062 -23.17348000876403 -3.5384405572148414 0.023830638694937734 -70.96753116704545 -12.23281323661736
626.2735774311747 -24.113378177779175 -3.7005955829183668 0.0050700664162861685 -70.92319635100066 -11.781510477637289
502.14450793415665 -29.237361715752908 -3.2836980692319755 0.005784936427731934 -70.90203236811449 -11.795446920989617
682.9010471786319 -22.932357990693987 -3.8895370281876867 0.02638143911897196 -70.83409081749163 -12.313534394245476
526.5979916173226 -26.927930213541387 -3.3681751722396998 0.023668466485708587 -70.8040637910238 -12.227895011047364
756.6270488184714 -24.770049083350617 -4.185740127407281 0.013161057619671035 -70.75837462471418 -11.951872349799885
722.4208395940635 -28.397376944688773 -4.133234761974715 0.042586393808428026 -70.73767186407834 -13.077272260927128
924.5926235866623 -29.616982552419575 -4.64428710132092 0.0068394760183198644 -70.67661738416237 -11.816366466321579
519.2247126311308 -27.848279419718125 -3.2737789823379035 0.012147979864550497 -70.53079271650735 -11.928882800949765
1002.6332202748722 -27.30781676954453 -4.911339136568857 0.034932811610827445 -70.52095570309355 -12.644588590122467
869.7867613914104 -27.235596124665875 -4.442313313894092 0.04128602546071721 -70.41544052094622 -12.989276342159949
508.7264367312343 -23.378437042193465 -3.141052063828523 0.00033195469867123184 -70.39950014597686 -11.693747651256956
