luminosity_distance timeshift log10_Menv log10_Renv log10_Ee Ebv log_likelihood log_prior
10.44720332373231 -0.25159868665657115 -0.5000058694874522 14.296646933665663 48.40204138809937 0.0003614595057338399 -3147.722109583562 -9.419855929783038
10.384436587214589 -0.2592077752334383 -0.5001438475343309 14.297312123333832 48.40120699061148 6.875630702839672e-05 -3143.102622875262 -9.41467608553838
10.47454845458026 -0.2590096938223425 -0.5000791085430036 14.297816991748277 48.40143344664206 0.0005158248814433907 -3142.546034239679 -9.422598512970517
10.146569881569844 -0.27393225251228515 -0.5000812525172028 14.299012550334576 48.40142737675556 0.00025557116771834476 -3142.3925505578677 -9.41797896986602
10.273256831285558 -0.25132686458197284 -0.5001158142925707 14.297027312526067 48.401412712799726 0.0007158954776646336 -3142.329932321213 -9.426164361950711
10.432554483564306 -0.25592131242787275 -0.5000981226171699 14.297213706473528 48.401020126611385 0.0012017170004207367 -3141.655886567937 -9.434876432903392
10.47497468200512 -0.25565384992209417 -0.5001927519295835 14.297550032101192 48.401122442341574 4.892358798228352e-05 -3141.291026866154 -9.4143260830078
10.322752712217017 -0.2543795124383834 -0.500183769248897 14.297969202124687 48.40135568157102 0.00046808302548038104 -3140.5197752658414 -9.42174948789468
10.291001303461252 -0.25750925388463486 -0.5001786788630478 14.298174261231246 48.401347293206236 0.00027258313359783333 -3140.297175234425 -9.41828028384764
10.407526820961083 -0.2509703404757957 -0.5001619762770506 14.297187353042338 48.40114609739789 0.0003675123933207125 -3140.0435420672043 -9.419963328832187
10.412569150592464 -0.254847605586491 -0.5001917691606431 14.297342516824205 48.400920570546624 0.00033671124663383077 -3139.9942204911904 -9.419416930480716
10.500062491731189 -0.2559296461923637 -0.5002154349268699 14.297732959065257 48.400956250766185 0.0001360370506803095 -3139.969927697797 -9.415864351660128
10.320444508394075 -0.255678413558428 -0.5000768201568004 14.297649853443277 48.40136907768154 0.0005998028465384744 -3139.8450405529857 -9.424093700195595
10.49908276565348 -0.2541787701105882 -0.5000817407516606 14.297262772062638 48.40109902398328 0.0005771292254754642 -3139.6838216975916 -9.42368978692733
10.426315147909255 -0.2585311921236837 -0.5001303689254116 14.297749255784108 48.40105176834587 0.00031529505838274357 -3139.385361401993 -9.419037192911562
10.501600621329226 -0.2558424726590154 -0.5000774972931084 14.297789281137346 48.40110462532389 0.0010465196924951156 -3139.0858249845523 -9.432085073646688
10.503699790990114 -0.25496755027092277 -0.5002105550584348 14.29773198680923 48.400955248575315 5.364104310851019e-05 -3139.0839038356025 -9.414409324293239
10.390126670054729 -0.25316134548907954 -0.5001964992806593 14.297491176682254 48.400998390015154 0.0003308787792064749 -3139.072010893966 -9.419313498768565
10.513279476429089 -0.25466390159560603 -0.5001782256101472 14.297969959810226 48.401093781127976 0.0003831916529439981 -3139.0361339454294 -9.420241586488276
10.501144740239063 -0.2530941827860609 -0.5001980662147973 14.298212441916618 48.401248481634646 0.00034804194466904004 -3138.965415753762 -9.41961789720617
10.566293285034988 -0.2560067967292241 -0.5001952090109588 14.298820664858031 48.40136324113805 0.0002116068667686197 -3138.8385633207854 -9.41720069946219
10.448902182409148 -0.25188830759635294 -0.5001614437642745 14.297882484600844 48.401284745792346 0.0003720431546991077 -3138.7692160561405 -9.420043727674955
10.067616729537871 -0.2723654361681156 -0.5000743293417179 14.299161467604943 48.40125443165554 0.00024183519876571225 -3138.6324694858877 -9.417735746195829
10.330774635333377 -0.2564777610048381 -0.5000722210361525 14.297981233373314 48.401317876193865 0.0008448708679517932 -3138.6107852394166 -9.428469843269943
10.490633542356992 -0.2559249576225291 -0.5001323695734209 14.297838665891144 48.4011353579719 0.00017375089176307102 -3138.5869185165666 -9.416531045612935
10.432873805684066 -0.2595284208514492 -0.5001606057218324 14.297785469405717 48.40070665332434 0.0008290616909947215 -3138.5414181744013 -9.428186962572301
10.498600108862739 -0.2590283777575806 -0.5002047941861069 14.29826953626328 48.40088478233358 0.0003698208009105644 -3138.4497467541787 -9.420004290962796
10.458970003082221 -0.2527100727303697 -0.5001711681918144 14.297811743680438 48.401039530166166 0.0006798969058016067 -3138.2434769675083 -9.425521822255893
10.482667897453375 -0.2592167043620144 -0.5002198382983946 14.29885253445238 48.40114687321125 0.00020149350330450337 -3138.1992033111355 -9.417021755061832
10.435789128246768 -0.25926014818680443 -0.5001580136099563 14.297978809501707 48.400801897512736 0.0007639248007616812 -3138.161568261708 -9.427022282305233
10.52397081860476 -0.259811121254657 -0.5001676651103353 14.299067043123035 48.40126990019827 0.0004892387704154198 -3138.1389898400703 -9.42212562559559
10.374736764015832 -0.2615832341971185 -0.5001562230419089 14.29828718199844 48.40088820734128 0.0007136533115652596 -3138.127666041455 -9.426124329395336
10.118372803227654 -0.27937361515310144 -0.5000062760609005 14.299666659636763 48.401328091893554 1.9307649410750574e-05 -3138.1113729089125 -9.413803656773885
10.472845155078694 -0.2576811920337967 -0.5002074591501368 14.298469030157328 48.401088624890015 0.00014800478248040428 -3138.07148251493 -9.416075865487187
10.420863553447829 -0.25326656229464106 -0.5001670596653895 14.297893787946876 48.40108913170752 0.0005921429213388566 -3137.968689329177 -9.423957226220793
10.433953196970695 -0.25654129799799463 -0.500141889225948 14.297866097745807 48.40097404459984 0.0005404136010284141 -3137.888380487938 -9.423036071869657
10.409933777377919 -0.2603084124761317 -0.5001445494103967 14.29792285593626 48.40075593089505 0.0006965338126455143 -3137.7341215195556 -9.425818723643435
10.422213417718 -0.2570969103036056 -0.5001592627719251 14.297731480755184 48.400705935335225 0.0009687764367986283 -3137.6818298556846 -9.430689716929816
10.214611607930033 -0.26558383897709703 -0.5000702003375473 14.298554801446432 48.40117231379486 0.0004620517822124207 -3137.6798118570873 -9.421642281563248
10.126452444573127 -0.27674828530568263 -0.5000072403856212 14.2994357070383 48.40129430775928 5.200300264200866e-05 -3137.559060667032 -9.41438041966247
10.438510714992745 -0.2538299945966287 -0.5001623218025754 14.29797287972349 48.401005660568444 0.0008061136262454704 -3137.554581266394 -9.427776484882084
10.458990527291748 -0.25516363203290027 -0.5001776095363576 14.29789881495907 48.40092808196714 0.00041065454351485307 -3137.511059537297 -9.420729153272402
10.487911277594861 -0.25583432169351283 -0.5002008457571286 14.29847206033275 48.40113810580483 0.000160816585040457 -3137.4893645854786 -9.416302346741626
10.166047304167337 -0.27751824925636015 -0.5000110558240164 14.299478520233762 48.40120559440757 0.00023015223879784154 -3137.478326082018 -9.417528921831002
10.457683023167007 -0.25231419613746553 -0.5001803361357742 14.297892328236589 48.400964788270635 0.000785130265181481 -3137.3938728290077 -9.427401297745117
10.187499764018618 -0.2677388932156717 -0.5000667417744863 14.298759702406189 48.40113517815529 0.00048331875553972946 -3137.3275936146115 -9.422020356676846
10.135166982346814 -0.2703637448146381 -0.5000691326677171 14.299067472043559 48.40117571631265 0.00034811127996574526 -3137.309846751358 -9.41961912709477
10.455667375940308 -0.2543572072520668 -0.5001833851485007 14.298123973228392 48.40104048186079 0.0004284440392690239 -3137.283794895542 -9.42104510882217
10.449445431081722 -0.25437057200535307 -0.500190914985476 14.297818252254897 48.40091990534569 0.00019837033109658576 -3137.1962931228773 -9.416966500572007
10.41963585311543 -0.25720049412936064 -0.5001426235280102 14.297987299104502 48.40097205836792 0.0004080172532862712 -3137.180597805085 -9.420682321402438
10.46909418935007 -0.25184421808202373 -0.5001600762055189 14.297679085574773 48.40084841757303 0.0010586304510235602 -3137.1732961529633 -9.432302616158852
10.432876594498362 -0.25420674689327427 -0.5001739955773873 14.298067970071028 48.40098130332492 0.0007207696444289892 -3137.135820318246 -9.426251392857097
10.439713545696515 -0.2543585745857122 -0.5001813105311819 14.298322500571604 48.40101549252008 0.0009371970980339958 -3137.131338931533 -9.43012347812326
10.406861913140915 -0.25791557356145134 -0.500149833982786 14.298272011708514 48.40102638460939 0.0005161200663374643 -3137.1064629498323 -9.422603764682073
10.475535180607668 -0.25361132892288296 -0.5001975476416667 14.297604509370844 48.4008157785863 0.0001398436017349182 -3137.0726868362503 -9.415931622562468
10.400308817978622 -0.25656143322223457 -0.5001545995351221 14.298186346567926 48.400931915631176 0.0009404229127270901 -3137.0083281624306 -9.430181304451743
10.424179980052918 -0.25405603504149354 -0.5001769461111628 14.29809257660899 48.401006737047624 0.0006384276671875 -3137.0026442482117 -9.424782147825105
10.432057284810488 -0.25708417697842734 -0.5000681973634045 14.298001475797562 48.40112171808511 0.0006706183996072577 -3136.954795062841 -9.425356276791508
10.483343914037773 -0.25687587787879806 -0.5001981077371759 14.298756761170242 48.40115446017409 0.00027563765731353543 -3136.950463029317 -9.418334394835664
10.417685814959416 -0.2554974802333092 -0.5001596858918835 14.298047746244475 48.400838434863644 0.0010974768265245144 -3136.861192721889 -9.43300072336525
10.40260064442585 -0.2539134031117669 -0.5001463821049004 14.297909670818076 48.400957023429726 0.0008725057405432185 -3136.7822683154764 -9.428964518724534
10.288368196884317 -0.2563601265147639 -0.5000657836408908 14.297976480650197 48.401301391285465 0.00037109591812841823 -3136.7471909208307 -9.42002691832677
10.430915269824437 -0.25670135048193643 -0.5001560100675316 14.298009649171759 48.400743575262915 0.0011041887978104237 -3136.7468449639623 -9.433121393420326
10.45498658839479 -0.2531446964508035 -0.5001591998814268 14.297850768273793 48.4008560852714 0.0009727651477973219 -3136.716263157161 -9.430761260015386
10.399503623700708 -0.26155399681724845 -0.5001501320776035 14.298171491477948 48.40072771193906 0.000586872283301468 -3136.6857694184378 -9.42386333208259
10.425473874114449 -0.25602635262308127 -0.5001575796149949 14.29825145886677 48.40097865211033 0.0007477461988520198 -3136.6581804710895 -9.426733210968637
10.44071146540331 -0.2580965491702365 -0.5002041316118476 14.29900129833246 48.40116869687481 0.00038196149639600503 -3136.6455666301626 -9.420219752270542
10.40117339352353 -0.25221198872361583 -0.500077879722784 14.29813096532164 48.40130106476146 0.001083528241219672 -3136.586351103864 -9.432749997617396
10.457538643678445 -0.2554630123578576 -0.5001546510311538 14.298084176707729 48.40083455194997 0.001006948613871739 -3136.550848759484 -9.431374598062241
10.443507370059088 -0.2542089575225752 -0.5001422417764478 14.298082790829245 48.40106841387195 0.000534964511330649 -3136.536317797504 -9.422939088220293
10.435004299500324 -0.2575746933529466 -0.5001643973592794 14.298045107231285 48.40073984822991 0.0007933609688021154 -3136.5108347191754 -9.42754844776828
10.393463858642766 -0.25300794375811364 -0.5000781173459359 14.298190671453398 48.40122526444774 0.0012958525851263143 -3136.4340783661023 -9.436573347874392
10.44137436183269 -0.2542058963310332 -0.5001692855310702 14.298166792899735 48.40097630511773 0.0006787100216491552 -3136.3841185705173 -9.425500644550374
10.416267632509237 -0.2571219260223856 -0.5001592623305603 14.298494835118337 48.40102915909399 0.0006681325558085583 -3136.3261527225814 -9.42531192946096
10.420872359630627 -0.25413045373394283 -0.5001686832110323 14.29819917150262 48.40087296082312 0.0012093203875253834 -3136.2935053715055 -9.435013386887006
10.414003699370314 -0.2563199599837347 -0.5001659513408361 14.2981857969476 48.400838011503865 0.0008858934056467338 -3136.2344062885627 -9.42920425138928
10.461115502489355 -0.25175679859926703 -0.5001689950125007 14.29787949101221 48.400854142305064 0.001002821724048536 -3136.227226676727 -9.431300531226386
10.392403093426172 -0.255890876593714 -0.5001642462639447 14.298138242632302 48.400826840761674 0.0009837345005020552 -3136.1537444233354 -9.430958037027235
10.437562893124586 -0.2563747283368514 -0.5001583197962375 14.298172522707643 48.40077407231181 0.0010818987629355593 -3136.1204544028333 -9.432720711854154
10.38053828441746 -0.2546531330346369 -0.500082839911912 14.298139732495073 48.401135880850774 0.0010462183202554274 -3136.093838840262 -9.432079660776315
10.517395500768558 -0.25597297377149175 -0.5002089871671517 14.29842808853439 48.40092014718709 0.00016881199450483246 -3136.0773861459884 -9.41644371197418
10.457651894417332 -0.2581254493178271 -0.500203547199723 14.299013412832455 48.401130311696924 0.0002826722786914638 -3136.0591885107015 -9.418459024522237
10.433092689222574 -0.2544002743976215 -0.5001563239487962 14.298045638225435 48.400810511093326 0.0011155324880312437 -3136.0341270854346 -9.433325367167411
10.395043069601385 -0.2561836809409783 -0.5001583004478738 14.298064115663124 48.400827711907674 0.000772979707829626 -3135.986288187324 -9.427184107430184
10.395781806610023 -0.25423087028304536 -0.5001667962380557 14.298022784033478 48.40094586682602 0.0005206947351492698 -3135.970376808631 -9.422685157335854
10.446354047956874 -0.2532437412054378 -0.5001627386603448 14.29807627314823 48.40089680448524 0.000920290651438247 -3135.9422626805294 -9.429820465875203
10.432664343890975 -0.2541357164509428 -0.5001183929120232 14.29817130614327 48.40116005225582 0.00045687465010991335 -3135.9276598112165 -9.421550266363047
10.447925446317486 -0.251833364996056 -0.5001694871212999 14.297969014450981 48.400903086724405 0.000884123529149669 -3135.910450923713 -9.429172554947554
10.194321467156504 -0.2747502511924722 -0.5000152271086904 14.299209833058423 48.40117316641228 0.00025041272879564464 -3137.1871979970065 -9.417887622125374
10.095219966348335 -0.27014941480206645 -0.5000550062859795 14.299209300860042 48.40109374663497 0.0005037331358238663 -3135.504123147603 -9.422383409267086
10.182786597029908 -0.2708302144552803 -0.5000095405591212 14.299062128713524 48.40121871241714 0.0002794613855708038 -3136.050977417435 -9.418402136434542
10.206605795342641 -0.2699660226047662 -0.500017475313026 14.298962773656896 48.401200617995705 0.0001312120470326568 -3135.835126855588 -9.41577908875664
10.255111268400638 -0.2705605431119622 -0.5000180329851284 14.299193487562885 48.40116611963124 7.111968679282672e-05 -3134.6885382585324 -9.41471780200344
10.230001554110887 -0.27132909535586336 -0.5000192124077621 14.299264287763275 48.40116038409098 0.00010445147642880208 -3134.7350092269207 -9.41530633317497
10.28413379114703 -0.2688770920353001 -0.5000092867851618 14.299190451182884 48.40123053974302 0.0002682591965587937 -3134.7555974487973 -9.418203690166614
10.530397234872957 -0.25701501681431793 -0.5002071772161172 14.298911073097962 48.40098026372845 0.00021888491825341412 -3134.996385222903 -9.417329496076235
10.491856840392934 -0.2575553736251841 -0.5001964786186833 14.299242357224125 48.401164531978374 0.0002123724196252395 -3134.798640078581 -9.417214246348248
