luminosity_distance timeshift supernova_mag_boost Ebv log_likelihood log_prior
507.6389849389611 21.32813139326346 -0.659641963376032 0.05318180190632877 -20.540775761114183 -14.461502300524392
3228.99075092145 29.89547445489741 -4.71491208717599 0.031061745008523933 -20.377802607353956 -12.481068488555582
1649.6067958501906 28.121115893805303 -3.2555927115092778 0.05275355183412584 -20.349156936055422 -14.347350761257053
715.0909472037972 22.239590637687705 -1.3746054465054285 0.042742556631320254 -19.82954264781399 -13.088380156513265
659.0612913301755 23.23374023172508 -1.0094264039507568 0.0428225516580393 -19.798358470884498 -13.094118371943997
519.6555980509345 23.48369467480181 -0.48253218477393034 0.046506958023824284 -19.602790900712606 -13.402071355720473
1174.785805435743 26.31462137333736 -2.3693646843583513 0.04097786434970853 -19.326556395646442 -12.96951088214934
2569.70411223063 29.631735721100696 -4.2796832153987046 0.04259793114368881 -19.072293810342977 -13.078088706260981
2182.5882959182527 28.531176473666 -3.806192040126429 0.036152424912805604 -18.96948241405508 -12.702185792274207
2250.8086532048715 29.251153346093915 -3.911842620224663 0.036914468597371214 -18.59314752207448 -12.73993408898317
2972.6826127638433 29.109793219509385 -4.61137711250264 0.051150868372923285 -18.38782198600297 -14.008224974213643
2072.138710190388 28.84997943212346 -3.742527913482143 0.03824694166171599 -18.318322062015575 -12.809569816175163
1964.2205245084228 28.3821591161663 -3.5497169442081504 0.05274810803061598 -18.279241821760145 -14.345980393153392
2685.3130626116867 29.38393680789128 -4.35292354537561 0.045254626928635605 -18.060923233426323 -13.28644116396416
1968.256424829749 28.989347149392273 -3.6446379326001757 0.044996812895977775 -18.06070516314131 -13.264210344592938
2152.4820867238377 29.673491182247204 -3.7836572431231597 0.048345560757167914 -17.983026786973614 -13.600480939877759
2325.358189057139 29.92566859926096 -4.103218688409874 0.05047820626987795 -17.966409685448664 -13.894261157756993
2550.047876901069 29.071846421607233 -4.209593164488502 0.049267184343976776 -17.593483109091586 -13.717023823406011
1867.056978291735 28.42745429654198 -3.602689131923942 0.05221899101991027 -17.58591012092004 -14.221020197131969
3354.263975925718 29.44836743310192 -4.986779560430844 0.05042062723485865 -17.572351273075437 -13.885083580192052
1993.5125136981178 28.138877132377935 -3.628133609089373 0.04284929571466094 -17.56274806856637 -13.096044148465886
2631.745695761758 29.359871276351214 -4.377516870908776 0.050412569018874996 -17.50213411139316 -13.883805865931702
3156.129174710513 29.510006739417946 -4.76804458423774 0.04801277068418097 -17.1763623371587 -13.561526671125506
3177.1605474926287 29.521227250971428 -4.7980149567766786 0.04836998378803971 -17.00720943084169 -13.60340041193758
1959.2807865056989 28.11810268246615 -3.7675116611198627 0.05585226076490793 -16.955580776144295 -15.864083691164923
2457.3195932571425 29.639645319882945 -4.111723207460659 0.04373085131839482 -16.92820140303945 -13.161692516955576
3287.165119128675 29.968262135642213 -4.844073180313029 0.052318682156319504 -16.905699844277137 -14.243400973384347
2430.2302133953085 29.755555161156728 -4.1563609165756175 0.04696960497028895 -16.822234984034637 -13.44841356103063
2320.801107190199 29.781243973744417 -4.017553250970005 0.046247770880337075 -16.753043247972542 -13.377018073965745
2874.4820188971016 29.576407398476135 -4.527940780364054 0.047654357356203096 -16.749440755561064 -13.521203743492817
2416.311147498186 29.167074472953615 -4.065692809268914 0.0516523637071654 -16.691535932415288 -14.102530264731728
2722.057180157634 29.65859585047332 -4.36655392804904 0.048286345092698905 -16.465105483871177 -13.593437622862183
2355.3352006649448 29.36257166015551 -4.1545173079399635 0.052589420703035086 -16.44195677146424 -14.306837580412855
2663.786745531103 29.713067582225136 -4.2962969957418595 0.0562353367934272 -16.374493726635443 -16.443492504699478
2063.84029055252 27.95752365415511 -3.7510694188917517 0.050908304586676056 -16.343534197923432 -13.965616810816213
