luminosity_distance timeshift log10_Menv log10_Renv log10_Ee Ebv log_likelihood log_prior
12.301779669320904 3.7249015145498703 -0.5000606676096757 14.29972749675668 48.40041927178325 0.011968769047011643 -3191.9022809124317 -9.650455387319502
12.472809327284175 3.733053903090898 -0.5001490649211943 14.298676683466333 48.400268027896196 0.010728626128844745 -3191.077406156528 -9.623122498422738
12.447325057827731 3.732334111251248 -0.5002667100631626 14.299237427076246 48.40021658601929 0.00996151211798614 -3190.008813151427 -9.606581746757373
12.604418323185172 3.727649723975624 -0.5001790128327959 14.299495391991062 48.40010883632002 0.01102768272175035 -3189.9791669397523 -9.629645705473452
12.454677665685136 3.7315522985924545 -0.5003046296517555 14.299863544268824 48.40016067952636 0.01043498341865973 -3189.00887853385 -9.616758521052002
13.350084500884655 3.7371074365106125 -0.5000692333844744 14.297952652385364 48.40039865464221 0.007156024519972902 -3187.7566759069036 -9.54831732178381
12.695733390710346 3.7302591153125206 -0.5000599677868361 14.299621673328522 48.40068245353925 0.009799452522800473 -3187.279413042865 -9.603122099831634
12.664438199698896 3.733376036579358 -0.5002048924562315 14.299974733058939 48.40034912987423 0.0106031777436406 -3186.925941780788 -9.620398759076235
12.906263264987848 3.731842933366451 -0.5001622086244036 14.29942498235462 48.40027691448088 0.00952811258934147 -3186.8795479746905 -9.597356200487042
12.980114726417456 3.7361478709602167 -0.5000516696286654 14.298374902761722 48.400194882430895 0.009542306336487531 -3186.35755325039 -9.597656991096311
12.72217356953287 3.734679243916517 -0.5001214288628814 14.29888278736178 48.40079866718402 0.007512006391480896 -3186.3367341178387 -9.555525020992201
13.297866748072632 3.7349084370530434 -0.500005901823574 14.297475138197496 48.400152455125884 0.0070303865542601105 -3186.129213163963 -9.545785835054623
12.942757908564635 3.737353373155976 -0.5001006125741604 14.298820125484514 48.4006047932347 0.008491690050929602 -3186.0532655652446 -9.575633531361174
13.315008986894487 3.735558022073434 -0.5000997087564901 14.29906789171265 48.400371209543074 0.008242750372917235 -3185.9748031339054 -9.570485471165293
12.624714555494265 3.7339777526723807 -0.5001916539165252 14.299697543434908 48.40078044980202 0.008066806041174723 -3185.7648748087204 -9.56686287026861
12.498086404959496 3.7367355696422706 -0.5002133305576216 14.29943470465309 48.400892443663786 0.007228674972264403 -3185.5685407471765 -9.549784089587972
13.19049846926562 3.7363655350128937 -0.5001013641659356 14.29893082997051 48.40029149206289 0.008667532795414518 -3185.3787717140426 -9.579285989042429
12.8499850543205 3.7310298246410554 -0.5002245466504232 14.299661344790533 48.40031556795867 0.008423402600733206 -3185.3725405512223 -9.57421871036665
12.987325145840302 3.7381927399115753 -0.5000711303699124 14.297877855028496 48.400033458633104 0.008908643294744044 -3185.316064997298 -9.584315919747405
13.283122020971932 3.734150167445705 -0.5000384663279372 14.299670997804261 48.40038095524154 0.009683654975894717 -3185.3053875764954 -9.60065736596601
13.193813273834516 3.7373731463194346 -0.5001260984141023 14.29945979342752 48.400541602545196 0.00859943329941166 -3185.178442647964 -9.57786990032195
13.194789712420986 3.7383521938519593 -0.5000937854915537 14.299201151020531 48.400255839498264 0.009640361450471343 -3184.9899668404514 -9.59973742756573
13.073167042591807 3.7356834924701445 -0.500040873392321 14.29915614446304 48.40049807180835 0.009149184393473658 -3184.9423315517115 -9.58935930984414
12.438630889570405 3.7373374705309956 -0.5002561903950726 14.299717050189992 48.40065797482471 0.008083254268554533 -3184.936790851378 -9.567200975061585
